,importance
zerotrade_21d,0.016744535235772587
maxret_21d,0.029533327118408035
ill_21d,0.030872828311843722
retvol_21d,0.03369038414119512
mom_756d,0.03387431239016838
minret_21d,0.03543893067829251
std_turn_21d,0.037011017464119875
retvol_63d,0.038679166717940715
mom_252d,0.038808498132832187
betasq_252d,0.0394478414035125
mom_63d,0.040263776131803417
beta_252d,0.04101034724760563
turn_21d,0.0410863608273696
mom_21d,0.04239150430997662
log_dolvol_21d,0.044078789859721065
chmom,0.04480330269140603
baspread_21d,0.045266700272015924
ind_mom,0.04800970842215483
idiovol_63d,0.04927205307897184
mom_126d,0.04998437826902488
mom_5d,0.054415239146003325
log_size,0.0722939233412097
ret_1d,0.09302307480865155
