date,ticker,action,shares,price,notional,cost
2019-01-08,AMAT,BUY,32,30.498964309692383,975.9668579101562,0.0
2019-01-08,LLY,BUY,9,105.486328125,949.376953125,0.0
2019-01-08,PLUG,BUY,624,1.600000023841858,998.4000148773193,0.0
2019-01-08,SBUX,BUY,18,54.00294876098633,972.0530776977539,0.0
2019-01-08,TSLA,BUY,44,22.356666564941406,983.6933288574219,0.0
2019-01-09,AMAT,SELL,32,31.787134170532227,1017.1882934570312,0.0
2019-01-09,PLUG,BUY,38,1.5099999904632568,57.37999963760376,0.0
2019-01-09,POET,BUY,435,2.299999952316284,1000.4999792575836,0.0
2019-01-10,PLUG,BUY,24,1.4500000476837158,34.80000114440918,0.0
2019-01-10,DE,BUY,6,143.47056579589844,860.8233947753906,0.0
2019-01-10,POET,SELL,435,2.299999952316284,1000.4999792575836,0.0
2019-01-11,DE,SELL,6,142.71322631835938,856.2793579101562,0.0
2019-01-11,LLY,SELL,9,105.3412857055664,948.0715713500977,0.0
2019-01-11,COP,BUY,19,51.36080551147461,975.8553047180176,0.0
2019-01-11,POET,BUY,416,2.4000000953674316,998.4000396728516,0.0
2019-01-14,COP,SELL,19,50.75737762451172,964.3901748657227,0.0
2019-01-14,LLY,BUY,9,103.98120880126953,935.8308792114258,0.0
2019-01-15,PLUG,BUY,18,1.3899999856948853,25.019999742507935,0.0
2019-01-15,NFLX,BUY,27,35.4640007019043,957.528018951416,0.0
2019-01-15,POET,SELL,416,2.299999952316284,956.7999801635742,0.0
2019-01-15,TSLA,SELL,2,22.961999893188477,45.92399978637695,0.0
2019-01-16,LLY,SELL,9,105.9034194946289,953.1307754516602,0.0
2019-01-16,NFLX,SELL,27,35.138999938964844,948.7529983520508,0.0
2019-01-16,F,BUY,172,5.666243076324463,974.5938091278076,0.0
2019-01-16,POET,BUY,444,2.200000047683716,976.8000211715698,0.0
2019-01-17,F,SELL,172,5.714087963104248,982.8231296539307,0.0
2019-01-17,MS,BUY,29,33.8358039855957,981.2383155822754,0.0
2019-01-18,MS,SELL,29,34.75867462158203,1008.0015640258789,0.0
2019-01-18,SBUX,SELL,1,54.9196891784668,54.9196891784668,0.0
2019-01-18,AVGO,BUY,44,21.563783645629883,948.8064804077148,0.0
2019-01-18,TSLA,BUY,5,20.150667190551758,100.75333595275879,0.0
2019-01-22,POET,SELL,12,2.200000047683716,26.40000057220459,0.0
2019-01-23,QCOM,BUY,21,43.42939376831055,912.0172691345215,0.0
2019-01-23,TSLA,BUY,2,19.172666549682617,38.345333099365234,0.0
2019-01-23,LLY,BUY,8,107.70777130126953,861.6621704101562,0.0
2019-01-23,FTNT,BUY,66,14.295999526977539,943.5359687805176,0.0
2019-01-23,SBUX,SELL,17,56.3881721496582,958.5989265441895,0.0
2019-01-23,POET,SELL,432,2.200000047683716,950.4000205993652,0.0
2019-01-23,AVGO,SELL,44,21.290950775146484,936.8018341064453,0.0
2019-01-24,FTNT,SELL,66,14.503999710083008,957.2639808654785,0.0
2019-01-24,QCOM,SELL,21,42.62406921386719,895.1054534912109,0.0
2019-01-24,LLY,BUY,1,104.26231384277344,104.26231384277344,0.0
2019-01-24,ON,BUY,50,18.989999771118164,949.4999885559082,0.0
2019-01-24,SBUX,BUY,17,54.95363998413086,934.2118797302246,0.0
2019-01-25,LLY,SELL,9,104.24415588378906,938.1974029541016,0.0
2019-01-25,ON,SELL,2,20.1200008392334,40.2400016784668,0.0
2019-01-25,INTC,BUY,23,40.48361587524414,931.1231651306152,0.0
2019-01-28,NVDA,BUY,281,3.421358585357666,961.4017624855042,0.0
2019-01-28,GE,BUY,23,41.39712905883789,952.1339683532715,0.0
2019-01-28,AAPL,BUY,26,37.08482360839844,964.2054138183594,0.0
2019-01-28,TSLA,SELL,49,19.7586669921875,968.1746826171875,0.0
2019-01-28,ENPH,BUY,139,6.900000095367432,959.100013256073,0.0
2019-01-28,PLUG,SELL,704,1.3700000047683716,964.4800033569336,0.0
2019-01-28,ON,SELL,48,19.65999984741211,943.6799926757812,0.0
2019-01-28,INTC,SELL,23,40.19961166381836,924.5910682678223,0.0
2019-01-28,SBUX,SELL,1,56.787132263183594,56.787132263183594,0.0
2019-01-29,ENPH,SELL,4,7.099999904632568,28.399999618530273,0.0
2019-01-29,GE,SELL,23,41.25807571411133,948.9357414245605,0.0
2019-01-29,NVDA,BUY,12,3.262450933456421,39.14941120147705,0.0
2019-01-29,TSLA,BUY,48,19.83066749572754,951.8720397949219,0.0
2019-01-30,SBUX,BUY,1,57.84816360473633,57.84816360473633,0.0
2019-01-30,PLUG,BUY,713,1.3899999856948853,991.0699898004532,0.0
2019-01-30,ENPH,SELL,135,7.159999847412109,966.5999794006348,0.0
2019-01-30,AAPL,SELL,1,39.2083625793457,39.2083625793457,0.0
2019-01-31,AAPL,SELL,25,39.490718841552734,987.2679710388184,0.0
2019-01-31,NVDA,SELL,13,3.563656806945801,46.32753849029541,0.0
2019-01-31,TSLA,SELL,48,20.468000411987305,982.4640197753906,0.0
2019-01-31,GE,BUY,21,47.09910583496094,989.0812225341797,0.0
2019-01-31,POET,BUY,434,2.299999952316284,998.1999793052673,0.0
2019-02-01,PLUG,BUY,43,1.340000033378601,57.620001435279846,0.0
2019-02-01,ENPH,BUY,144,7.0,1008.0,0.0
2019-02-01,POET,SELL,434,2.5,1085.0,0.0
2019-02-01,AMZN,BUY,12,81.3115005493164,975.7380065917969,0.0
2019-02-01,GE,SELL,21,47.238162994384766,992.0014228820801,0.0
2019-02-04,AMZN,SELL,12,81.66549682617188,979.9859619140625,0.0
2019-02-04,ENPH,SELL,144,7.0,1008.0,0.0
2019-02-04,NVDA,SELL,280,3.698270320892334,1035.5156898498535,0.0
